S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
605,The population which yields the highest level of income per head is known as,Over-population,Under-population,Extreme population,Optimum population,,D,Population,,,,INTERMIDATE
606,Price discrimination can only occur when there is,perfect competition.,imperfect competition.,a merger.,partnership.,,B,Price system,,,,INTERMIDATE
607,Commodity market can best be described as a market in which,goods are sold.,labour is sold and bought.,short-term loans are obtained.,quoted stock are bought.,,A,Market structure,,,,INTERMIDATE
608,Provision of services is calssified under,Primary production,Secondary production,Tertiary production,Production possibilities,,C,Production,,,,INTERMIDATE
609,"In ordinary partnership, the risks are ",borne by the workers.,borne by the creditors.,shared among the partners.,undertaken by the active partner.,,C,Business organizations,,,,INTERMIDATE
610,Balance of trade is defined as the relation between,Invisible imports and exports,Visible and invisible expeorts,Imports and exports of services,Visible exports and visible imports,,D,International trade,,,,INTERMIDATE
611,Which of the following combination of qualities ensures a good tax system?,"Deflationaory equity, certainty, and convenience","Economy convenience, certainity, and equity","Economy, deflationary, inflationary, and certainty","Economy, convenience, certainty, and inflationary",,B,Taxation,,,,INTERMIDATE
612,The quantity demanded of a commodity is influenced only by changes a,tastes.,weather.,price of the commodity.,prices of other commodities.,,C,Demand and supply,,,,INTERMIDATE
613,Which of the following is an indirect tax?,Income tax,Company tax,Profit tax,Sales tax,,D,Taxation,,,,INTERMIDATE
614,"Where a pen and a book are demanded together, the demand is said to be",composite,competitive,joint,derived,,C,Demand and supply,,,,INTERMIDATE
615,The reward for capital is,Interest,Rent,Risk,Premium,,A,Production,,,,INTERMIDATE
616,Infant industries are industries that,deal in the production of infant foods.,are in their earlier stages of production.,produce dresses for infants.,are well established.,,B,Industrialization,,,,INTERMIDATE
617,The most common form of business enterprise in West Africa is the,Sole proprietorship,Co-operative,Partnership,Joint Stock Company,,A,Business organization,,,,INTERMIDATE
618,"In order to boost agriculture, West African countries should pay more attention to",shifting cultivation.,animal husbandry.,seed multiplication.,mechanization.,,D,International trade,,,,INTERMIDATE
619,Gross National Product (GNP) less depreciation is known as,Gross Domestic Product,Gross National Income,Fixed National Income,Net National Product,,D,National income,,,,INTERMIDATE
620,West African economies can best be described as,Agricultural,backward,Developed,Industrialized,,A,International trade,,,,INTERMIDATE
621,Which of the following problems arises where there are more than one technically possible methods of production?,Where to produce,For whom to produce,How to produce,What to product,,C,Basic economic problems of the society,,,,INTERMIDATE
622,Visible balance is also known as,Terms of trade,Balance of payments,Balance of trade,Capital balance,,C,International trade,,,,INTERMIDATE
623,A shift in the demand curve indicates,exceptional demand.,change in demand.,change in quantity demanded.,elasticity of demand,,B,Demand and supply,,,,INTERMIDATE
624,"If a 6% decrease in price results in more than 6% decrease in quantity supplied, supply can be regarded as",elastic.,unitary elastic.,perfectly inelastic.,perfectly elastic.,,A,Demand and supply,,,,INTERMIDATE
625,A condition for consumer utility maximization is,Equality of the ratio of marginal utilities and the ratio of prices,Equality of the ratio of average utilities and the ratio of prices,Equility of the marginal utility to total utility ratio for both commodities,Total utility and marginal utility must be zero,,A,Theory of consumer behaviour,,,,INTERMIDATE
626,Which of the following best describes the mode? The,obervation with the highest frequency,average of two middle numbers,item that occupies the middle position,difference of two extreme values,,A,Basic tools for economic analysis,,,,INTERMIDATE
627,"Where a commodity takes an insignificant proportion of the consumer's income, demand for it will be",unitary elastic.,price inelastic.,fairly elastic.,income inelastic.,,B,Demand and supply,,,,INTERMIDATE
628,A demand schedule shows the quantities of goods that are,bought at given prices at a time.,supplied at given prices at a time.,produced at given prices at a time.,reserved for future consumption.,,A,Demand and supply,,,,INTERMIDATE
629,The demand curve for a commodity is downward sloping because the consumer will pay,less as the marginal utility falls.,more as the marginal utility falls.,less as the total utility falls.,more as the average utility falls.,,C,Demand and supply,,,,INTERMIDATE
630,A decrease in the demand for a product X resulted in a decrease in the demand for another product Y. The demand for X and Y is,derived.,composite.,joint.,competitive.,,C,Demand and supply,,,,INTERMIDATE
631,Any price below the equilibrium price will lead to,increase in supply.,excess demand.,equility of demand and supply.,decrease in demand.,,B,Demand and supply,,,,INTERMIDATE
632,The allocation of goods and services in a free market economy is performed by,the price sysrem.,the banking system.,the central planning body.,government budgets.,,A,Basic economy system,,,,INTERMIDATE
633,Given the demand function: Qd = 20 - ½P. What is Qd when P is $12?,6 units,10 units,12 units,14 units,,D,Demand and supply,,,,INTERMIDATE
634,"If a particular consumer derives total utility of 22 units having consumed 4 units of a given product, his average utility will be",88 units,18 units,5.5 units,3.5 units,,C,Theory of consumer behaviour,,,,INTERMIDATE
635,The law of diminishing marginal utility applies to a ,firm which minimizes cost.,consumer who maximizes satisfaction.,producer who maximizes marginal product.,consumer who minimizes total utility.,,B,Theory of consumer behaviour,,,,INTERMIDATE
636,Why is the law of diminishing returns a short run phenomenon?,All inputs are fixed,All inputs are variable,Some outputs are variable,Some inputs are variable,,A,Theory of consumer behaviour,,,,INTERMIDATE
637,Which of the following is capable of increasing the propulation of a country?,Decrease in death rate,Increase in death rate,Poor medical facilities,Decrease in birth rate,,A,Population,,,,INTERMIDATE
638,"In the firm's production process, marginal cost",falls continuously throughout.,falls and later rises.,remains unchanged throughout.,rises and later falls.,,B,Theory of cost,,,,INTERMIDATE
639,"If a firm's price is less than average cost but more than average variable cost, the firm is covering",all of its fixed cost and variable cost.,all of its fixed cost and part of variable cost.,all of its variable cost and part of fixed cost.,part of its fixed cost and part of variable cost.,,A,Theory of cost,,,,INTERMIDATE
640,An arrangment in which the debts of a company can only be paid from its own assets implies,unlimited liability.,transferred liability.,limited liability.,capital liability.,,C,Business organization,,,,INTERMIDATE
641,One reason why small scale businesses are very common in West Africa is that,they can easily float shares.,their manaement boards are easily formed.,their initial capital is easy to raise.,their dividend payments are very regular.,,C,Business organization,,,,INTERMIDATE
